listing_name,category,tags,description,medium,height,width,year,status,url,image_urls
Give me a Reason,Photography,Street Photography, Edition of 2 ,Silver Gelatin Print,29.2,20.2,2017,For Sale,https://exhybyt.com/artworks/1,https://exhybyt.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBCZz09IiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--8115077ef7802ed600ab14a148f6f927211ef5ce/photo.jpg
Beach Vibes in the City,Photography,Street Photography, Edition of 2 ,Silver Gelatin Print,20.2,29.2,2017,For Sale,https://exhybyt.com/artworks/2,https://exhybyt.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBCdz09IiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--167cd2fbd51e0e56516eecb0d50edd8687dbce8c/photo.jpg
Poetry,Photography,Street Photography,,,,,2017,,,https://i1.wp.com/lukashauser.art/wp-content/uploads/2017/08/Poetry-e1505258958102.jpg
Umbrellas,Photography,Street Photography,,,,,2016,,,https://i2.wp.com/lukashauser.art/wp-content/uploads/2017/01/Umbrellas.jpg
Coming Spoon,Photography,Street Photography,,,,,2017,,,https://i2.wp.com/lukashauser.art/wp-content/uploads/2017/08/Coming-Spoon-e1504438827722.jpg
Group Selfie,Photography,Street Photography,,,,,2015,,,https://i1.wp.com/lukashauser.art/wp-content/uploads/2017/01/Group-Selfie-e1504464723266.jpg
Bass Player,Photography,Street Photography,,,,,2017,,,https://i0.wp.com/lukashauser.art/wp-content/uploads/2017/08/Bass-Player-e1504438843470.jpg
Lion Statue,Photography,Street Photography,,,,,2017,,,https://i1.wp.com/lukashauser.art/wp-content/uploads/2017/01/Lion-Statue_edited-1-1-e1504437721138.jpg
Twins?,Photography,Street Photography,,,,,2017,,,https://i0.wp.com/lukashauser.art/wp-content/uploads/2017/01/Twins-1-e1504437521921.jpg
Phone Booths,Photography,Street Photography,,,,,2017,,,https://i0.wp.com/lukashauser.art/wp-content/uploads/2017/01/33611235923_912ff1bcc7_o-e1504360657215.jpg
Pigeon Paparazzi,Photography,Street Photography,,,,,2016,,,https://i2.wp.com/lukashauser.art/wp-content/uploads/2017/06/25063600611_8f1861b44c_b.jpg
Thunderstruck,Painting,Painting,"“Thunderstruck” is based on a photo that I took in Styria on a hot Summer evening that finally cooled down after this thunderstorm. “Lightening in a Summer Sky” or “Styrian Thunder” would probably be better names, but I like AC/DC.",Oil on Canvas,76,102,2019,For Sale,https://exhybyt.com/artworks/3,https://exhybyt.com/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBDQT09IiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--c62ec4b58cd8d6cd97f2e5e27f57874a35eda557/photo.jpg
